No,Provert
92,ကျွဲနှစ်ကောင်ခတ်တဲ့ကြား မြေစာပင် မခံနိုင်
93,ကျွဲပါး စောင်းတီး
94,ကျွန်ယုံ တစ်ဖက်ကန်း၊ သားသမီးယုံ စုံလုံးကန်း
95,ကျွန်ဝယ်ရာ အဆစ်ပါ
96,ကျွန်းကိုင်းမှီ ကိုင်းကျွန်းမှီ
97,ကြွေတစ်လက်၊ ကြက်တစ်ခုန်
98,ကြွက်နားရွက် ဝက်တပ်
99,ကြွက်မနိုင် ကျီမီးရှို့
100,ကြွက်သေတစ်ခု အရင်းပြု
101,ခရီးတွင်လို့ ရွာစဉ်မသိ
102,ခရု ခါးတောင်းကျိုုက်ဖမ်း
103,ခရမ်းသီးပိန် ဓားတုံး
104,ခလုတ်ထိမှ အမိတ
105,ခါချဉ်ကောင် မာန်ကြီးလို့ တောင်ကြီးဖြိုမည့်ကြံ ခါးကမသန်
106,ခုမှ ပေါ်တဲ့ ရွှေကြာပင်
107,ခုရေတွင်းတူး၊ ခုရေကြည်သောက်ချင်
108,ခဲမှန်ဖူးတဲ့ စာသငယ်
109,ခဲလေသမျှ သဲရေကျ
110,ခံဆူး ခံချွန်၊ ဆီးဆူး ဆီးချွန်
111,ခိုးတတ်မှ ယိုးတတ်သည်
112,ခင်ကြီးလက်ရန်းတက်က ကျပ်ခိုးစင်ပေါ် မောင်ရှင်မတက်လား
113,ခေါင်က မိုးမလုံလျှင် တံစက်မြိတ်လည်း မလုံနိုင်
114,ခေါင်းတစ်လုံးနှင့် ရေအိုးနှစ်လုံး မရွက်နိုင်
115,ခေါင်းတုံးပေါ် ထိပ်ကွက်
116,ခေါင်းသွား အမြီးပါ
117,ခတ်ကွင်း ပြင်တာနှင့် ရွာသစ်ကြီးရောက်
118,ခုတ်ရာတခြား၊ ရှရာတခြား
119,ချေအီး ချေလန့်
120,ချေးယိုခါနီးမှ ချေးခံတွင်းပေါက်ရှာ
121,ချော်လဲ ရောထိုင်
122,ချက်ဆို နားခွက်က မီးတောက်
123,ချောင်းကို ပစ်၍ မြစ်ကို ရှာ၊ ရေသာ များ၍ ငါးမတွေ့
124,ချောင်းရေလာ သဲကန်သင်းနှင့်ဆီး
125,ချဉ်သီးပင်အောက် ချဉ်သီးရှား
126,ချည်ပုဆိုးက ပိုးပေါင်ချင်
127,ချည်ပြာထဘီနှင့် ဝတိ ံလှမ်း
128,ချိတ်ချိတ်ချင်းမှ ချိတ်လို့ရ
129,ချိန်တော့ မိုး၊ ထိုးတော့ မြေကြီး
130,ခြံဝင် နွားပါ
131,ခြင်္သေ့မင်းရှေ့ ယုန်သငယ် မသန်းဝံ့
132,ခြင်းကြားနှင့် ရေသယ်
133,ခြိမ်းလွန်းသည့်မိုး မရွာ
134,ခွေးကလေးအရောဝင် ပါးလျက်နားလျက်
135,ခွေးကျိုးနဲ့ ယုန်လိုက်
136,ခွေးကြီးမှ လက်ပေးသင်
137,ခွေးတောက်မြစ်ယှက်၊ စိုက်ရောဖက်က၊ သရက်ပင်မင်း၊ သီးချိုကင်း၏
138,ခွေးဖြူ တော မတိုးဝံ့
139,ခွေး ဖြူတော မတိုးဝံ့
140,ခွေးမြီးကောက် ကျည်တောက်စွပ်
141,ခွေးရူး ကောင်းစား တစ်မွန်းတည့်
142,ခွေးရူးဖက်ကိုက် ခွေးကောင်းနားရွက်ပြတ်
143,ခွေးလှေးခုန်၍ ဖုန်မထ
144,ခွေးဟောင်တိုင်း ထကြည့် အိပ်ရေးပျက်
145,ခွေးဟောင်၍ တောင်ပို့ မပြေး
146,ခွေးအိုမှ လက်ပေးသင်
147,ဂဠုန်ပြည် ဂဠုန်၊ နဂါးပြည် နဂါး
148,ဂါထာပေး တေးဖြစ်
149,ငကန်းသေ ငစွေ ပေါ်လိမ့်မည်
150,ငရဲက လာသူ ပြာပူ မကြောက်
151,ငရဲခွေးကို ရဲဆေးတင်ဖို့ မလို
152,ငရဲပန်းကို ရွှေပန်းထင်
153,ငရဲရောက်မှ ကျောင်းဆောက်ချင်
154,ငရုတ်သီးနှင့် ပေါင်းမှ ကြက်သွန် အထောင်းခံရ
155,ငရုတ်သီးပိုး အစပ်မကြောက်
156,ငါမွေးသည့် မျောက် ငါ့ကို ခြောက်
157,ငါ့စကား နွားရ
158,ငါ့သမီး တော်လှဆို ယောက်မ မြင်းစီးထွက်
159,ငါးကြော်မကြိုက် ကြောင်မိုက်
160,ငါးကြင်းဆီနှင့် ငါးကြင်းကြော်
161,ငါးခုံးမတစ်ကောင်ကြောင့် တစ်လှေလုံးပုပ်
162,ငါးစာသာ မြင်၊ ငါးမျှားချိတ် မမြင်
163,ငါးစိမ်း မြင် ငါးကင် ပစ်
164,ငါးတကာ ယိုသည့်ချေး ပုစွန်ဆိတ်ခေါင်းမှာစု
165,ငါးတု ခရုပွက် အိုင်ပျက်
166,ငါးပိနှင့် လောက်၊ ရွှေနှင့် ကျောက်
167,ငါးပိဖုတ် မျက်နှာသာပေး ရွှေရေးပန်းကန်တက်
168,ငါးပွက်ရာ ငါးစာ ချ
169,ငါးမရ ရေချိုးပြန်
170,ငါးရံ့ရ အတူတူ၊ ငါးခူရ ခွဲခြမ်းခွဲခြမ်း
171,ငါးရိုးမျက် လက်တို
172,ငါးလွန်မှ ကွန်စွန့်
173,ငါးသိုင်းများ ဟင်းဟုံ
174,ငိုချင်လျက် လက်တို့
175,ငိုတတ်သည့်ကလေး နို့စို့ရ
176,ငုပ်မိသဲတိုင် တက်နိုင်ဖျားရောက်
177,ငုံးဆူ လူမသိ
178,ငွေတစ်ပဲနှင့် ငါးကြင်းခေါင်း ကိုင်
179,ငှက်တစ်ကောင် မြားတစ်စင်း
180,ငှက်ပျောပင်စိုက် မိလိုက်ဘပါ
181,ငှက်မသိတော့ ဆက်ရက် ချိုးထင်
182,စာဥဒေါင်းအုပ်၊ ဒေါင်းဥစာအုပ်
183,စားရကံကြုံလို့ မုတ်ဆိတ်ပျားစွဲ
184,စားရမှာလည်း သဲနှင့်ရှပ်ရှပ်၊ ပစ်ရမှာလည်း အဆီနှင့်ဝင်းဝင်း
185,စီးတဲ့ရေ ဆည်တဲ့ကန်သင်း
186,စူဠလိပ် ရေထဲလွှတ်
187,စူးနေရာစူး၊ ဆောက်နေရာဆောက်
188,စိုသောလက် မခြောက်စေနှင့်
189,စိုင်ကော်လို့ ချုံပေါ်ရောက်
190,စစ်မရောက်မီ မြားကုန်
191,စစ်ရောက်မှ မြားချွန်
192,စိန်ကောင်း ကျောက်ကောင်း ရောင်းဝယ်ရာ ဆေးရိုးသည်က ကန့်လန့်ကန့်လန့်
193,စိန္တေသိကိုမှ မကြံနိုင်ခင် ပုစ္ဆေသိ မေးပြန်သည်
194,စိန်နားကပ်ရောင်ကြောင့် ပါးပြောင်
195,ဆရာကာပြန် အာခေါင်လှံစူး
196,ဆရာမပြ နည်းမကျ
197,ဆရာများ သားသေ
198,ဆရာမှန် အလံမစိုက်နှင့်
199,ဆူးပေါ်ဖက်ကျ ဖက်ပေါက်၊ ဖက်ပေါ်ဆူးကျ ဖက်ပေါက်
200,ဆေးစက်ကျရာ အရုပ်ထင်
201,ဆေးသမားမထောင်းတာ၊ လူနာမခံချိ
202,ဆဲသည်နှင့် ဆန်ချေးနှင့် အဆမတန်
203,ဆံထုံးထုံး ဆီစိုက်
204,ဆောက်ဖြစ်မှ ကျောင်းဒကာ
205,ဆင်ကောင်ကြီးတွေ့မှ ဆင်ခြေရာရှာရန်မလို
206,ဆင်ကန်းတောတိုး
207,ဆင်ကျီစားရာ ဆိတ်မခံသာ
208,ဆင်ခေါင်း ခွေးမချီနိုင်
209,ဆင်ချည်သောကြိုး ကြက်ချည်သော်မမြဲ၊ ကြက်ချည်သောကြိုး ဆင်ချည်သော်မခိုင်
210,ဆင်စွယ်မှန် ပိုးမစား
211,ဆင်ပေါက် ကောက်လှိုင်းခိုး
212,ဆင်ပိန် ကျွဲလောက်
213,ဆင်ပြောင်ကြီး အမြီးကျမှတစ်
214,ဆင်ဖိုးထက် ချွန်းဖိုးကြီး
215,ဆင်ဖြူတော်မှီ ကြံစုပ်
216,ဆင်ဖြူတော်ဝင်မှာ ချည်တစ်ခင်နှင့် ကျိန်းကျေ
217,ဆင်ဖြူတော်ဝင်မှာ ချည်တစ်ဝင်နှင့် ကျိန်းကျေ
218,ဆင်ဖြူမျက်နှာ ဆင်မည်းမကြည့်ဝံ့
219,ဆင်မတတ်နိုင်၊ ကြွက်တတ်နိုင်၏
220,ဆင်လိုက်မှ သစ်ပင်ရှာ
221,ဆင်လိုက်ရာ ဝါကြီး ဝါငယ်ရွေး
222,ဆင်လည်း ဆင့်အထွာနှင့် ၊ ပုရွက်ဆိတ်လည်း ပုရွက်ဆိတ်အထွာနှင့်
223,ဆင်ဝန်ကတော် အကြောင့်ကြ
224,ဆင်သေကို ဆိတ်ရေနှင့်ဖုံး
225,ဆင်သတ် အရပ်ဝေ
226,ဆင်သွားလျှင် လမ်းဖြစ်
227,ဆင်အိပ်ရာ ဆိတ်နှိုး
228,ဆင့်နားရွက် ကြွက်တပ်
229,ဆင့်ပါးစပ် နှမ်းပက်
230,ဆိတ်ဆိတ်နေ ထောင်တန်
231,ဆန်ခိုးမမိ ဖွဲခိုးမိ
232,ဆန်စဉ်ရာ ကျည်ပွေ့မလိုက်နိုင်
233,ဆန်ပေးမှ ဆေးရ
234,ဆန်မရှိ အစားကြီး
235,ဆန်ရင်း နာနာဖွပ်
236,ဆပ်ပြာကောင်းလို့ ခေါင်းပေါင်းဖြူ
237,ဆုံမတတ်ဘဲ နှမ်းဖတ်ကြိုက်
238,ဆယ့်နှစ်မှုပေါ်မှာ ရေကြည်တော်ထပ်
239,ဆွမ်းခူး မျက်နှာမရ၊ ဆွမ်းလောင်း မျက်နှာမရ
240,ဆွမ်းခံရင်း ငှက်သင့်
241,ဆွမ်းဆန်ထဲ ကြွက်ချေးရော
242,ဆွမ်းတော်ထားလို့ ဝမ်းတော်မှ အနိုင်နိုင်
243,ဇိကုပ် နတ်ပြည်တင်
244,ဇိကုပ်လို့ နတ်ပြည်တင် မြင့်တယ်ထင်လို့ ခုန်ချ
245,ဇီးကွက်လောက်တော့ ငှက်တိုင်းလှ
246,ဇာတ်တူသားစား၍ ဟင်္သာကိုးသောင်းပျက်
247,ဈေးဖိုးတစ်ရာ၊ ဝမ်းစာအစိတ်
248,ဈေးမတတ် ရွာအနှုန်း၊ ဆံထုံးမတတ် ရွာဓလေ့
249,ညားတော့ ဈေးသည်၊ ရွယ်တော့ မဟာနွယ်
250,ညောင်မြစ်တူး ပုတ်သင်ဥပေါ်
