No,Provert
417,ပျားလည်း စွဲသာ၊ ရှဉ့်လည်း လျှောက်သာ
418,ပျံလေတဲ့ငှက်ခါး နားခါမှ သိစိမ့်
419,ပြဒါးတစ်လမ်း သံတစ်လမ်း
420,ပြင်လွန်း ဖင်ချွန်း
421,ပြည်ညင်းလျှင် မင်းမခံနိုင်
422,ပြည်ပန်းညို ချိုပါလျက် ဆားကမြက်
423,ပွဲပြီး မီးသေ
424,ပွဲမဝင်ခင် ပြင်က ကျင်းပ
425,ပွဲမင်းလည်း ငွေမှား၊ ဆေးသမားလည်း သားသေ
426,ပွဲလန့်တုန်း ဖျာခင်း
427,ဖားကိုလို ဖားပေါင်ဖြင့် မျှား
428,ဖားတုလို့ ခရုခုန်
429,ဖားတုလို့ ခရုခုန် အိုင်ပျက်ရုံ
430,ဖားနိုင် ဖားစား၊ ငါးနိုင် ငါးစား
431,ဖိုးသူတော်မျက်စိလည်လေ ဆန်ရလေ
432,ဖင်မနိုင်ဘဲ ပဲကြီးဟင်းသောက်
433,ဖောင်စီးရင်း ရေငတ်
434,ဖိတ်ချင်းဖိတ် ကိုယ့်အိတ်ထဲ ဖိတ်
435,ဖုတ်လေတဲ့ငါးပိ ရှိတယ်လို့ မအောက်မေ့
436,ဖြစ်မည့်ခွေး အမွေးတခြား
437,ဖွဲကို ထောင်းလို့ ဆန်ကောင်းမရ
438,ဖွတ်မရ ဓားမ ဆုံး
439,ဖွတ်မိကျောင်းဖြစ် မြစ်မချမ်းသာ
440,ဗောင်းတော်ညိတ် စိတ်တော်သိ
441,ဗိုင်းကောင်း ကျောက်ဖိ
442,ဗျိုင်းမှန်လျှင် ခြေစိမ်း
443,ဗြောသံကြားနှင့် တရားနာ
444,ဘကြီးလည်း မမီ၊ ထီးတင်ပွဲလည်း မတွေ့
445,ဘတော်ပျံလည်း မမီ၊ ထီးတင်ပွဲလည်း မတွေ့
446,ဘတစ်ပြန်၊ ကျားတစ်ပြန်
447,ဘီလူးစည်း၊ လူ့စည်း
448,ဘီလူး လူယောင်ဆောင် ခုနစ်ရက်
449,ဘုရားကားအောက်၊ မျောက်ကားအထက်
450,ဘုရားပြီး ငြမ်းဖျက်
451,ဘုရားဖြစ်မည့်ကြံ မာရ်နတ်က ကန့်လန့်
452,ဘုရားမှတ်လို့ ကိုးကွယ်ပါ၊ ဖွတ်ထွက်မှ တောင်ပို့မှန်းသိ
453,ဘုရားလည်းဖူး လိပ်ဥလည်းတူး
454,ဘုရားသော်မှ အမှီရှိမှ ပွင့်
455,ဘူးဆိုလျှင် ဖရုံမသီး
456,ဘူးတောင်းနစ် စောင်ခြမ်းပေါ်
457,ဘူးထဲက ရေပါ
458,ဘူးနားပင်း ရေသွင်း၍ မဝင်
459,ဘူးလေးရာ ဖရုံဆင့်
460,ဘူးသီးမှ အရီးတော်
461,ဘိန်းစားချင်းအတူတူ ပြောင်းတစ်လုံးပိုရှူ
462,ဘုန်းကြီး စာချ
463,ဘယ်ကျွဲစားစား ဗြဲမခေါင်း
464,ဘယ်သူသေသေ ငတေမာ ပြီးရော
465,မကတတ် ဖျာ အပြစ်တင်
466,မကို ခင်မှ ဥကို ခင်
467,မခေါ်ခင်က တော်ထူးချင်
468,မခေါ်လျှင် အထူးရသက်သာ
469,မချစ်သော်လည်း အောင့်ကာနမ်း
470,မစားရ တပူပူ၊ စားရ တဆူဆူ
471,မစားရလျှင် အလျှင်း၊ စားရလျှင် ဆီထမင်း
472,မစားရ ဝခမန်း
473,မစားရသည့်အမဲ သဲနှင့်ပက်
474,မစားရ အညှော်ခံ
475,မစားရက် လောက်တက်
476,မစွမ်းရင်းကလည်းရှိ ကန်စွန်းခင်းကလည်းငြိ
477,မဆွတ်ခင်က ညွတ်ချင်
478,မထိုင်ခင် ခြေဆင်း
479,မပူလိုလို့ ယောက်မရှာ
480,မပို့ဘဲနဲ့ မဲဇာရောက်
481,မပိုင်ဝက်မွေး
482,မပိုင်ဝက် မွေးဘက်ယူ
483,မပြေးသော် ကန်ရာရှိ
484,မပြည့်သည့်အိုး ဘောင်ဘင်ခတ်
485,မဖြစ်ဘဲနှင့် သာကဲခေါင်းတဝင့်ဝင့်
486,မမီတဲ့ပန်း တုံးခုလို့ လှမ်း
487,မမြင်ဖူး မူး မြစ်ထင်
488,မမှားသော ရှေ့နေ၊ မသေသော ဆေးသမား
489,မရ ရသက ချိုင်
490,မရဲဘဲနှင့် ကျွဲပြဲစီး
491,မရဲသော်လည်း ပြေးခဲစေ
492,မရောင်ရာ ဆီလူး
493,မရွယ်ဘဲ စော်ကဲ မင်းဖြစ်
494,မလို ကူးတို့ခ တောင်း
495,မလုံတဲ့အိုး တုတ်မိုးရုံနဲ့အာ
496,မလျော့မတင်း စောင်းကြိုးညင်း
497,မသာလက်ဖက်ထုပ်နှင့် မျက်နှာလုပ်
498,မသိခေါက်ရက် အဝင်နက်
499,မသိသူ ကျော်သွား၊ သိသူ ဖော်စား
500,မိကျောင်းမင်း ရေခင်းပြ
501,မီးကြီး ငြမ်းခို၊ ကျောက်ကြီး ငါးခို
502,မီးခဲ ပြာဖုံး
503,မီးစတစ်ဖက် ရေမှုတ်တစ်ဖက်
504,မီးစာကုန် ဆီခန်း
505,မီးမလောင်မီက တား
506,မီးများ မီးနိုင်၊ ရေများ ရေနိုင်
507,မီးလောင်ရာ လေပင့်
508,မီးဝေး ချိပ်မာ
509,မုဆိုး စိုင်သင်
510,မုဆိုးနားနီး မုဆိုး၊ တံငါနားနီး တံငါ
511,မုသားမပါ လင်္ကာမချော
512,မူးလျှိုး ပဲလျှိုး ငဖြိုး ကျွန်ဖြစ်
513,မဲနှင့် နီပါး အတူထား နီပါး မဲစော်နံ
514,မိုးကို လင့်၍ ပျိုးရင့်သည်
515,မိုးကြိုးပစ် ထန်းလက်ကာ
516,မိုးပြို အများနှင့်
517,မိုးမပြိုဘူး၊ ပြိုခဲ့သော်
518,မိုးရွာတုန်း ရေခံ
519,မိုးလွန်မှ ထွန်ချ
520,မိုးသောက်မှ ကြက်တင်၊ နေဝင်မှ စပါးလှန်း
521,မက်လုမက်လုနှင့် လင်း
522,မင်းဆရာပြော လောစရာမလို
523,မင်းတို့ထွက် ရက်ရာဇာ
524,မင်းဘဏ္ဍာ ကိုယ့်ဟာမှတ်လို့ တပြုံးပြုံး
525,မင်းလောင်းမှန် ရထားဆိုက်
526,မင်းသားကြီးမလုပ်ရလို့ ပတ်မကြီး ထိုးဖောက်
527,မင်းသားဖြစ်မှ သံဆန်းပေါ်သည်
528,မောင်မောင်ခေါ်လို့ ဗျာမထူး၊ အောင်ကျော်ခေါ်မှ ဗျာထူး
529,မောင်မောင်ဆိုလေ ထီးရိုးရှည်
530,မိန်းမကောင်းပန်းပန် တစ်ပွင့်တန်
531,မုန်ကို မဲပြု၊ မဲကို မုန်ပြု
532,မုန့်ဆီကြော် ဘယ်နေမှန်းမသိ၊ နှုတ်ခမ်းနာနှင့် တည့်ပါ့မလား
533,မုန့်ပေးသည့် ဘုန်းကြီး ကျမ်းတတ်သည်
534,မုန့်သည်မသား မုန့်နားစား
535,မျိုးစေ့မမှန် ပင်မသန်
536,မျက်စိကန်း တစ္ဆေ မကြောက်
537,မျက်စိအကျင့် ဝမ်းအချင့်
538,မျက်နှာကြီးရာ ဟင်းဖတ်ပါ
539,မျက်နှာမရ ခြေကျောက်ရ
540,မျက်နှာလွှဲ ခဲပစ်
541,မျက်နှာသာပေး ရွှေရေးပန်းကန်တက်
542,မျက်နှာသိ ငါးပိမဝယ်ရ
543,မျက်ဖြူဆိုက်လေ ဆရာကြိုက်လေ
544,မျောက်ပြ ဆန်တောင်း
545,မျောက်မြီးနှင့် မျောက်ချည်
546,မျောက်သားစားချင် မျောက်မျက်နှာကြည့်
547,မျောက်သားစားချင် မျောက်မျက်နှာမကြည့်နှင့်
548,မျောက်သစ်ကိုင်းလွတ်
549,မြေစမ်း ခရမ်းပျိုး
550,မြေနိမ့်ရာ လှံစိုက်
551,မြဲရာ သံပတ်၊ ကျပ်ရာ သပ်ပင်း
552,မြို့ဝန်မင်းစောင်မမှ ထောင်ကျ
553,မြက်မြက်ကလေးစားချင်လို့ ဆိုင်းထဲလိုက်၊ နှဲကြီးနင်းမိလို့ လျော်ရ
554,မြင်ဖန်များ ငယ်၊ နမ်းဖန်များ ပြယ်
555,မြင်ရုံသာမြင်ရ မကြင်ရ
556,မြင်းကမလှုပ်၊ ခုံက လှုပ်
557,မြင်းကောင်း ခွာလိပ်
558,မြင်းကောင်းပြေးရာ ခွာကျိုးကန့်လန့်
559,မြင်းစီးလို့မှ အထီးမှန်း အမမှန်း မသိ
560,မြင်းနောက်ပြန်စီး ထီးရှေ့ကကွယ်
561,မြစ်ကြီးတော့ ရေစီးသာသည်
562,မြစ်တစ်ဖက် ဝက်လက်ကင်
563,မွဲချင်တဲ့ခွေး ပြာပုံတိုး
564,မှန်ကင်းတစ်လှည့်၊ ထင်းတစ်လှည့်
565,မှန်းချက်နှင့် နှမ်းထွက်မကိုက်
566,မြွေပါလည်းဆုံး၊ သားလည်းဆုံး
567,မြွေပူရာ ကင်းမှောင့်
568,မြွေပွေး ခါးပိုက်ပိုက်
569,မြွေပွေး ပိုးထိ
570,မြွေမသေ၊ တုတ်မကျိုး
571,မြွေမှန်လျှင် တွင်းဝင်ဖြောင့်
572,မြွေမြွေချင်း ခြေမြင်
573,မွှေးလျှင်ပန်၊ နံလျှင်ပစ်
574,ယာဂုအိုးကွဲခါမှ ရွှေစည်းခုံလှူ
575,ယာရှင်ကို မျောက်မောင်း
576,ယာလည်းညက်၊ ကြက်လည်းပန်း
577,ယိုသူမရှက်၊ မြင်သူရှက်
578,ယောက္ခမ သေမှန်းသိ မြင်းဝယ်မစီးရလား
579,ယောက်ဖ၊ ယောက်ဖနှင့် ပတောက်နှိုက်
580,ယောက်မ ခါးထိုးရှာ
581,ယုန်က မတိုး၊ ပိုက်က တိုး
582,ယုန်ကျူးချည်၊ ခွေးကျူးချည်
583,ယုန် တောင်ပြေး၊ ခွေး မြောက်လိုက်
584,ယုန်ထောင်၊ ကြောင်မိ
585,ယုန်မရခင် သံပရာရှာ
586,ယုန်မရ တောကျေ
587,ယုန်မရ တောကြေ
588,ယုန်အကျိုး တောသိ၊ တောအကျိုး ယုန်သိ
589,ယုန်အတွက် ချုံက ကြောင့်ကြ
590,ရတနာရှိရာ ရတနာစု
591,ရလေလိုလေ အိုတစ္ဆေ
592,ရသာလျှင် ဘနဖူး သိုက်တူး
593,ရာဇဝတ်အိုး တုတ်နှင့်ထိုး
594,ရေငတ်တုန်း ရေတွင်းထဲကျ
595,ရေစီးတစ်ခါ၊ ရေသာတစ်လှည့်
596,ရေစုန် ရွက်တိုက်
597,ရေနက်ကလည်း နေရ၊ လင်းပက်လည်း စိုက်ရ
598,ရေနစ်သူ ဝါးကူလို့ထိုး
599,ရေ နိမ့်ရာစီး၊ မီး မြင့်ရာလောင်
600,ရေမနောက် ကြာမရှောက်
601,ရေများရာ မိုးရွာ
602,ရေများရေနိုင်၊ မီးများမီးနိုင်
603,ရေမြင့် ကြာမြင့်
604,ရော့ပတ္တမြား၊ ရော့နဂါး
605,ရောက်သမျှဘေးဒဏ် ပုဏ္ဏားခံ
606,ရောင်တော်ပြန်နှင့် ရောကျွတ်
607,ရောင်တော်ပြန်နှင့် ရောလွှတ်
608,ရွာနားကမြက် ရွာနွားမစား
609,ရွာဘုရား ရွာသားမရိုသေ
610,ရွာလွန် ရွက်တိုက်
611,ရွာသမုတ်လျှင် သစ်ငုတ်သော်မှ ကျားဖြစ်ရ
612,ရွာသားမင်းစေ ရွာနေမရှက်
613,ရှိသာခိုး အငြိုးနှင့်
614,ရှေ့ဆောင်နွားလား ကောက်ကောက်သွားက နောက်နွားတစ်သိုက် ကောက်ကောက်လိုက်၏
615,ရှေ့ဆောင်နွားလား ဖြောင့်ဖြောင့်သွားက နောက်နွားစဉ်စိုက် ဖြောင့်ဖြောင့်လိုက်၏
616,ရှေ့တိုး ထမ်းပိုး၊ နောက်ဆုတ် လှည်းထုပ်
617,ရှင်နည်းရာ အဂ္ဂ လူထွက်
618,ရှင်ပြုတုန်းက ရွှေထီးဆောင်း
619,ရှင်ဘုရင်တစ်ခါထွက် ပဲကြီးတစ်လှေချက်
620,ရှင်ဘုရင်အတွက် ငဝက်က ဒဏ်ခံ
621,ရှင်ဘုရင့်ပုဆိုး ပိုးချည်း
622,ရှင်မပြုခင်က လူထွက်ချင်
623,ရှဉ့်တစ်ကောင် မြားတစ်စင်း
624,ရှဉ့်လည်း လျှောက်သာ၊ ပျားလည်း စွဲသာ
625,ရွှေကျောင်းပြောင်ပြောင် ဝမ်းခေါင်ခေါင်
626,ရွှေတောင်မှာနား ရွှေကျီး
627,ရွှေပင်နား ရွှေကျေး
628,ရွှေမရှိတဲ့ဘုရား လူမရိုသေ
629,ရွှေရိုးလို့ မိုးကြိုးပန်
630,ရွှေသမင် ဘယ်ကထွက် မင်းကြီးတာက ထွ
631,လသာတုန်း ဗိုင်းငင်
632,လာလာချင်း ဆောက်နှင့်ထွင်း
633,လူချင်းတူသော်လည်း အသက်ရှူချင်းကွဲ
634,လူတန် ကံချ
635,လူတွင်ပါ၍ နွားကျားကိုက်
636,လူနာ မျက်ဖြူဆိုက်လေ ဆရာကြိုက်လေ
637,လူပါး ပုလင်းထိ
638,လူမစွမ်း နတ်မ
639,လူမတတ်ပေမဲ့ လက်ဖက်ထုပ်တတ်
640,လူမတန် ကံချ
641,လူမိုက် နတ်ပြည်တင် မြင့်တယ်ထင်လို့ ခုန်ချ
642,လူမင်းဘုန်းကြီး နတ်မင်းမနေနိုင်
643,လူများ၍ ပွဲမစည်
644,လူယုံသတ် သေတတ်
645,လေဆင်ကြည့် ရွက်တိုက်
646,လေဖမ်း ဒန်းစီး
647,လေဖမ်း ဝါးတန်းချည်
648,လက်ခုပ်တွင်းကရေ သွန်လိုသွန် မှောက်လိုမှောက်
649,လက်ညှိုးညွှန်ရာ ရေဖြစ်
650,လက်ညှိုးမကောင်း လက်ညှိုး၊ လက်မ မကောင်း လက်မ
651,လက်နှင့်ရေး ခြေနှင့်ဖျက်
652,လက်ဖက်ကောင်းစားချင် ပလောင်တောင်တက်နှေးစေ
653,လက်သင့်ရာ စားတော်ခေါ်
654,လက်သည်းဆိတ် လက်ထိပ်နာ
655,လင်လိုတုန်း နားပဲ့
656,လင်းတလောက်တော့ ငှက်တိုင်းလှ
657,လင်းနို့ခွန်တောင်း ကြွက်၊ ကြွက်ခွန်တောင်း လင်းနို့
658,လည်လွန်းသည့်ဘီး ချေးသင့်
659,လုပ်စားမိုးခေါင်၊ ခိုးစားခွေးဟောင်
660,လမ်းဆုံးလျှင် ရွာတွေ့
661,လုံ့လလည်းထူ မိုးလည်းကူ နွားချေးလည်းချ ကံလည်းမ
662,လယ်ထွန်သွား နွားမေ့
663,လွတ်တဲ့ငါး ကြီး
664,လှစေချင်လို့ သွားကြောင်တိုက် ရေစီးကမ်းပြိုလိုက်
665,လှေခွက်ချည်းကျန် အလံမလှဲ
666,လှေနံ ဓားထစ်
667,လှေနံ နှစ်ဖက်နင်း
668,လှေပြေးတုန်း တက်ကျိုး
669,လှေဦးခြောက် ခြောက်၊ လှေဦးစို စို
670,လှော်ကား ဝန်တင်
671,လှံဖျား ပုစဉ်းနား၊ ကျီးကန်း ချေးပါ
672,လှိုင်းကြီး လှေအောက်၊ တောင်ကြီး ဖဝါးအောက်
673,လှုပ်လေ မြုပ်လေ
674,လျှောမွေးနှင့် ဗာရာဏသီချဲ့
675,ဝမရှိဘဲ ဝိလုပ်
676,ဝါဂွမ်းတစ်လှည်း ဖုတ်၍ အကျွမ်းမရ
677,ဝါးဆွေးကို ချွန်၍ မထက်
678,ဝါးနားပင်း ရေသွင်း၍ မဝင်
679,ဝါးလုံးခေါင်းထဲ လသာ
680,ဝိနည်းတတ် ကြက်သတ်
681,ဝက်နားရွက် ကြွက်တပ်
682,ဝက်ဖြစ်မှတော့ မစင်မကြောက်
683,ဝင်ဝင်ချင်း ဆောက်နှင့်ထွင်း
684,ဝန်နှင့်အား မြားနှင့်လေး
685,ဝန်မတန်သည် စစ်ကဲ၊ ထမင်းမတန်သည် ထမနဲ
686,ဝှေ့တတ်သည့် နွားကို ရှောင်ပြန်၊ ကန်တတ်သည့် နွားနှင့် ညား
687,သခင်အားရ ကျွန်တန်ဝ
688,သခွားစား၍ ဖရုံပြသည်
689,သခွတ်ပင်က မီးတကျည်ကျည်
690,သခွတ်ပွင့် တစ်ပြည်ပြုတ်၍ တစ်ဆုပ်မရ
691,သတိမမူ ဂူမမြင်၊ သတိမူက မြူကိုမြင်
692,သမဏေန သမဏော၊ ဂေါဏေန ဂေါဏော
693,သမီးပေးမှ သမက်ရ
694,သမင်မွေးရင်း ကျားစားရင်း
695,သမုဒ္ဒရာရေ တစ်ယောက်တည်းသောက်၍ မကုန်
696,သာလကာတစ်လင်ပန်း၊ ပင်ပန်းကာတစ်ယောက်မ
697,သားကားအဖျား၊ မြေးကားအရင်း
698,သားတစ်သာ မြင်၊ ကျော့ကွင်း မမြင်
699,သားရေပေါ်အိပ်၊ သားရေနားစား
700,သား ရွှေအိုးထမ်း
701,သားသမီးမကောင်း မိဘခေါင်း
702,သိကြားမင်း ကျွဲယောင်ဆောင်၊ ချိုကား
703,သီတင်းကျွတ်မည့်အရေး တော်သလင်းကန့်လန့်
704,သီးချိန်တန်သီး၊ ပွင့်ချိန်တန်ပွင့်
705,သူကြီးဘုရား ရွာသားကောင်းမှု
706,သူခိုးက နွားကောင်းရွေး
707,သူခိုးက လူ လူ ဟစ်
708,သူခိုး တိုက်စိုးနှင်း
709,သူခိုး ဓားရိုးကမ်း
710,သူခိုးပြေးမှ ထိုးကွင်းထ
711,သူခိုးရှိရာ ဝန်ထုပ်ဝန်ပိုးနှင့်သွား
712,သူခိုးရွှေရ တပြပြ
713,သူခိုးလက်က သူဝှက်လု
714,သူခိုး သေဖော်ညှိ
715,သူဌေး ကြေးပံ့
716,သူတော်ချင်းချင်း သီတင်းလွေ့လွေ့ ပေါင်းဖက်တွေ့
717,သူတောင်းစားချင်း ခွက်စောင်းခုတ်
718,သူများနှာခေါင်းနှင့် အသက်ရှူ
719,သူများဗိုက်နှင့် ဓားထိုးခံ
720,သူများယောင်လို့ ယောင်၊ အမောင် တောင်မှန်း မြောက်မှန်း မသိ
721,သူ့ဆန်စား ရဲမှ
722,သေချင်တဲ့ကျား တောပြောင်း
723,သေ မြေကြီး၊ ရှင် ရွှေထီး
724,သဲထဲ ရေသွန်
725,သံကို ကြွက်စား သားကို စွန်ချီ
726,သံကို သံဖျက် သံချေးတက်
727,သံဃာအား ဘုရားမဆန်သာ
728,သံပရာသီးလို ကြီးလေ ချဉ်လေ
729,သစ်ငုတ်မြင့်တုံ၊ မြက်မြင့်တုံ
730,သစ်တစ်ပင်ကောင်း ငှက်တစ်သောင်းနားရ
731,သစ်နှစ်ပင်ကြား ဝါးပေါက်
732,သစ်မရခင်စပ်ကြား ဝါးပေါင်းကွတ်
733,သည်ပုတ်ထဲက သည်ပဲ
734,သည်ယုန်မြင်လို့ သည်ခြုံထွင်
735,သဒ္ဓါလို့ပေး သေဆေးသော်မှ အာစောက်ချ
736,သဒ္ဓါလွန်း ဆွမ်းတော်တော်ရပ်
737,သန်းခေါင်ထက် ညဉ့်မနက်
738,သုံးထမ်းပိုးကျမှ အရွသင်
739,သွားချေးထူရာတွင် ပိန်းဥစားပြန်သည်
740,ဟိုကွေ့ရောက် ဟိုတက်နှင့်လှော်၊ ဒီကွေ့ရောက် ဒီတက်နှင့်လှော်
741,ဟင်းချိုမမြည်းရခင် နှုတ်ခမ်းစွေ့နှင့်သည်
742,ဟင်းစားကြက် အတက်ကောင်းပေါက်
743,ဟင်းစားသာပေး၊ ကွန်ချက်မပြနှင့်
744,ဟင်းတစ်ခွက် တောင်ဘက်ကချို
745,ဟောင်လွန်းသည့်ခွေး လူမလေး
746,အကမတတ် ဖျာခေါင်းချ
747,အကန်းထဲမှာ မျက်ခမ်းက လူမော်
748,အကျိုးလိုလို့ ညောင်ရေလောင်း ပတ်ထမ်းတွေ့
749,အကြံကုန် ဂဠုန်ဆားချက်
750,အကြောင်းတော် တောင်ပေါ်ရေစီး
751,အကွပ်မရှိတဲ့ကြမ်း ပရမ်းပတာ
752,အခုစာကလေးကြော်၊ အခုဆီထမင်း
753,အခေါ်သာကွဲ၊ ထမနဲနှင့် ယာဂု အတူတူ
754,အခိုင်ကြီးလည်း အဖီးလှမှ တင့်တယ်သည်
755,အချိုရှာ သကာတွေ့
756,အချိန်တန်တော့ နွားပိန်ကန်လိမ့်
757,အငိုလွယ် အရှိုက်ခက်
758,အစာဝတော့ ဌာနပြန်
759,အစားမတော် တစ်လုတ်၊ အသွားမတော် တစ်လှမ်း
760,အဆိပ်ပင် ရေလောင်း
761,အညှီရှိ ယင်အုံ
762,အတောင့်မကြီး အသီးမမာ
763,အတတ်ကြူး ဘီလူးဖြစ်
764,အတွင်းထရံ အပြင်ကာ၊ အပြင်ထရံ အတွင်းကာ
765,အထိန်းမရှိသည့် ချည်ခင်
766,အနာတက် ဆေးချက်မရှိ
767,အနာပေါ် တုတ်ကျ
768,အနာမသိ ဆေးမရှိ
769,အနီးမွှေး အဝေးကြိုင်
770,အနူတော လူချော
771,အနေစုတ်ပေမဲ့ ရွှေထုပ်တဲ့ မြပဝါ
772,အနုပ်မက်၍ အခွက်ပျက်
773,အနှစ်မရှိသည့်တော ကြက်ဆူပင် မင်းမူ
774,အပေါ်ယံ ရွှေမှုန်ကြဲ၊ အထဲက နွားချေးခံ
775,အပြက်အပြက်နှင့် နှာခေါင်းသွေးထွက်
776,အပွေးမြင် အပင်သိ
777,အပွဲပွဲ နွှဲခဲ့သမျှ သည်ပွဲမှာမှ နှပ်ပစ်ခံရ
778,အဖထက် သားတစ်လကြီး
779,အဖျားတက် အမှည့် ရနိုးနိုး
780,အမာရွတ်မြင်တိုင်း မဟော်သတိရ
781,အမိမဲ့သား၊ ရေနည်းငါး
782,အမေကျော် ထွေးတော်လွမ်း
783,အမေ ပုတ်ထဲမှာ မအောင်းဘူး
784,အမေရိုက် အမေကယ်ပါ၊ အဖေရိုက် အဖေကယ်ပါ
785,အမေး ကျွဲကျောင်း၊ အဖြေ ဘုရားလောင်း
786,အမဲရိုးနှယ် ဟင်းအိုးမှ အားမနာ
787,အမောင်လည်းရောက်၊ ငါ့နွားပျောက်
788,အမယ်မှာ မှာသည့်အတိုင်း
789,အမယ်မှာသည့် ဆန်တစ်ခွဲ သုံးစိတ်နှင့်မလဲ
790,"အများညီ ""ဤ"" ကို ""ကျွဲ"" ဖတ်"
791,အများ မိုးခါးရေသောက် သောက်မှ
792,အမြီးကျက် အမြီးစား၊ ခေါင်းကျက် ခေါင်းစား
793,အမြီးစားဖက် ခေါင်းစားဖက်
794,အမြုတေရှိရာ အမြုတေစု
795,အမြင်မတော် ဆင်တော်နှင့် ခလောက်
796,အမှိုက်ကစ ပြာသာဒ်မီးလောင်
797,အမှည့်တဝင်းဝင်း အကင်းတဖြိုက်ဖြိုက်
798,အရူးက တစ်မူးသာ
799,အရူးဗုံမြှောက် ခြေထောက်လို့က
800,အရူး အမဲသားကျွေးမိ
801,အရူးအရူးနှင့် အိမ်ဦးချေးပါ
802,အရေးကောင်း ဒိန်းဒေါင်းဖျက်
803,အရိုးကို အရွက်မဖုံးစေနှင့်
804,အရက်ပြတ် ခွက်ကပ်နှင့်မူး
805,အရင်းစစ် အမြစ်မြေက
806,အရင်းမစိုက် လှေထိုးလိုက်
807,အရင်းလဲ အဖျား ထင်းဖြစ်
808,အရပ်ကောင်းမှ အလောင်းလှ
809,အရပ်ရှိမှ အရိပ်ထွက်
810,အရိပ်နေနေ အခက်ချိုးချိုး
811,အရိပ်ပြ အကောင်ထင်
812,အရိပ်မလာခင် နေပူကစောင့်
813,အရိပ်သုံးပါးနားမလည် ချေသငယ် ကျားစာဖြစ်ရ
814,အရှင်မွေး နေ့ချင်းကြီး
815,အရှင်သုံးတော့ ဓားမတုံး ထက်
816,အလကားရသည့်နွား သွားဖြဲကြည့်
817,အလာကောင်းသော်လည်း အခါနှောင်း
818,အလုပ်မရှိ ကြောင်ရေချိုး
819,အလျင်ဘုန်းကြီး တစ်ချက်ခေါက်၊ နောက်ဘုန်းကြီး နှစ်ချက်ခေါက်
820,အလျင်လို လမ်းအိုလိုက်
821,အလှူရှင်မှန်းသိအောင် မဏ္ဍပ်တိုင်တက်
822,အလှူ့လက်ဖက်နှင့် လက်ဆောင်တက်
823,အလှည့်ကျတော့ နွားမတောင်ရုန်းရ
824,အလှမ်းကျယ် အလယ်လပ်
825,အလျှောက်ကောင်း အထောင်းလွတ်
826,အဝေးဆယ်ရှဉ်း၊ အနီးတစ်ရှဉ်း
827,အဝတ်မရှိသူက လုံအောင်ထိုင်ပါပြော
828,အသားထဲက လောက်ထွက်
829,အသားလိုလို့ အရိုးတောင်း
830,အသီးတစ်ရာ အညှာတစ်ခု
831,အသံကြောင့် ဖားသေ
832,အသံသာရှိ အဆန်မရှိ
833,အသည်ဝန် ဘုန်းကြီးလို့ ပါနောက်က ခြေကြွ
834,အသွားတစ်တိုင်ရှိ၊ အပြန်တစ်တိုင်ရှိ
835,အသွားမတော် တစ်လှမ်း၊ အစားမတော် တစ်လုတ်
836,အသွေးမြင် အသွင်သိ
837,အသွင်မတူ အိမ်သူမဖြစ်
838,ဦးစပါး ပဲ့ပြောင်း၊ ပဲ့စပါး ဦးပြောင်း
839,ဦးနင်း ပဲ့ထောင်၊ ပဲ့နင်း ဦးထောင်
840,အိုးက မပူ၊ စလောင်းက ပူ
841,အိုးက မပူ၊ ဖုံးဖွက်ပူ
842,အိုးချင်းထား အိုးချင်းထိ၊ ကြိုးချင်းထား ကြိုးချင်းငြိ
843,အိုးတော်လုပ် ဖုတ်ရင်းက မကျက်
844,အိုးနှင့်ဆန် တန်ရုံ
845,အိုးမလုံ အုံပွင့်
846,အိုးရွဲ့ကို စလောင်းရွဲ့နှင့် ဖုံး
847,အိုးသည် အိုးကောင်းမသုံးရ
848,"""အင်း"" ကောင်း ""ဗျာ"" မတန်"
849,အိုင်တွေ့ ခြေဆေး
850,အိုင်တွေ့လို့မှ မလူး ကျွဲရူး
851,အိုင်သာလို့ ကြာပေါက်
852,ဥစ္စာရင်လို ဥစ္စာရင်ခဲ
853,အိတ်ပေါက်နှင့် ဖားကောက်
854,အုတ်မရှိလို့ မြို့မတည်၊ နှယ်နှယ်မှတ်သလား
855,အပ်နှင့်ထွင်ရမှာ ပုဆိန်နှင့်ပေါက်
856,အပ်ပျောက်လျှင် ဆင်စီး၍ရှာ၊ ဆင်ပျောက်လျှင် ဆန်ခါနှင့်ချ
857,အပ်ဝင် ပုဆိန်ထွက်
858,အပ်သွားရာ အပ်ချည်ပါ
859,အပ် ဦးပဲ့ထမ်း
860,အိပ်ချင်ယောင်ဆောင်သူ အနှိုးရခက်
861,အိမ်ကြက်ချင်း ခွပ်
862,အိမ်ကြက်ချင်း အိုးမဲသုတ်
863,အိမ်ခြေတစ်ရာ၊ ပြည်စိုး အစိတ်
864,အိမ်နီးချင်းကောင်းမှ လင်ကောင်းရသည်
865,အိမ်ရှေ့ကရေတွင်း အိမ်နောက်ဖေးရွှေ့
866,အိမ်ရှေ့ပူ အိမ်နောက်မချမ်းသာ
867,အိမ်လာ ယာဆုတ်
868,အိမ်သာလို့ ဧည့်လာ
869,အိမ်သူကို ဧည့်မောင်း
870,အိမ်အိုမှ စားဖိုထုတ်
